"distrito_id","distrito_nombre","region","nodo","categoria","departamento_id","departamento_nombre","domicilio_municipalidad","cod_postal","tel_cod_area","telefono_1","telefono_","email","web"
"1729","Aarón Castellanos",5,"Venado Tuerto","Comuna","17","General López","Sarmiento 1212 ","S6106XAE","3382","498010",498040,"comaaroncastellanos@arnet.com.ar",
"1613","Acebal",4,"Rosario","Comuna","16","Rosario","Asurmendi 665 ","S2109ABM","3469","420723",420020,"comunaacebal@ri.com.ar",
"0706","Aguará Grande",2,"Rafaela","Comuna","07","San Cristóbal","Zona urbana S/N",3071,"3492","470322",,"aguaragrande@myc-santafe.gov.ar",
"1621","Albarellos",4,"Rosario","Comuna","16","Rosario","Comercio 447 ","S2101AAG","3402","494042",494063,"comalbarellos@coopvgg.com.ar",
"1902","Alcorta",4,"Rosario","Comuna","19","Constitución","Sarmiento 284 ","S2117BPF","3465","470326",,"comunaalcorta@dat1.net.ar",
"1507","Aldao",4,"Rosario","Comuna","15","San Lorenzo","Lisandro de la Torre 205 ","S2214AFG","3476","482043",482038,"comunadealdao@gmail.com",
"0810","Aldao (Colonia)",2,"Rafaela","Comuna","08","Castellanos","Camino Aldao 085 ","S2317XAB","3491","483037",,"comunacolaldao@coopaldao.com.ar",
"0403","Alejandra",1,"Reconquista","Comuna","04","San Javier","Thomás Moore 1568 ",3051,"3405","492107",,"comunalej@csdnet.com.ar",
"1611","Álvarez",4,"Rosario","Comuna","16","Rosario","Moreno 861 ","S2107BEG","3402","461801",,"comalvarez@yahoo.com.ar",
"1609","Alvear",4,"Rosario","Comuna","16","Rosario","Carlos Pellegrini 2064 ","S2130AIN","341","4922109",4923280,"comunadealvear@v56.com.ar",
"0703","Ambrosetti",2,"Rafaela","Comuna","07","San Cristóbal","San Martín 527 ",2352,"3562","477112",,"comuna_ambrosetti@arnet.com.ar",
"1731","Amenábar",5,"Venado Tuerto","Comuna","17","General López","Quintana 515 ",6103,"3382","492251",,"comunaamenabar@hotmail.com",
"1405","Andino (Pueblo)",4,"Rosario","Comuna","14","Iriondo","Rivadavia 555 ","S2215ANI","3476","496100",496149,"comunadepuebloandino@yahoo.com.ar",
"0837","Angélica",2,"Rafaela","Comuna","08","Castellanos","9 de julio 104 ","S2303AAD","3493","492349",,"comunadeangelica@angcoop.com.ar",
"0614","Angeloni",3,"Santa Fe","Comuna","06","San Justo","Zona Rural ","S3048XAC","3471","471330",,"comangeloni@netbai.com.ar",
"1803","Arequito",4,"Rosario","Comuna","18","Caseros","Rivadavia 1585 ","S2183XAB","3464","471201",471106,"info@comunaarequito.gov.ar",
"1623","Arminda",4,"Rosario","Comuna","16","Rosario","Belgrano 659 ","S2119ABE","3469","493005",493083,"comunadearminda@alvarezcablehogar.com.ar",
"1306","Armstrong",4,"Rosario","Municipalidad","13","Belgrano","Bv. San Martín 1565 ",2508,"3471","461204",,"intendente@armstrong.gov.ar","www.armstrong.gov.ar"
