"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2015,1,09/01/2015,"Viernes",0,21:05:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Av Blas Parera Y Almonacid",2,0,1,0,0,0,1,,"Avenida",,"SANTA FE","La Capital","Asfalto","No existe","I","S/D","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Nocturna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Faltante","Cordón divisorio","Sin restricción"
2015,2,18/01/2015,"Domingo",0,18:00:00,,"0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Av Facundo Zuviria Y J P Lopez",2,1,0,0,0,0,1,,"S/D",,"SANTA FE","La Capital","S/D","S/D","I","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D"
2015,3,01/01/2015,"Jueves",0,08:00:00,,"0.0",1,"Moto/Ciclomotor","Azcuenaga Y San Lorenzo",1,1,0,0,0,0,0,"-31.592194444444,-60.701777777778","Calle",,"SANTA FE","La Capital","Asfalto,Tierra","Natural","I","Dentro","Urbana","S/D","No existe","Intersección","Con baches","Buena","Diurna","Buen Tiempo","Contra objeto fijo","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,4,09/01/2015,"Viernes",0,19:10:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Av Blas Parera Y La Pampa",4,3,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","No existe","I","S/D","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Atardecer","Buen Tiempo","De alcance","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,5,14/01/2015,"Miercoles",0,20:40:00,,"0.0",2,"Pickup/Utilitario,Moto/Ciclomotor","Saavedra Y Gorostiaga",2,1,0,0,0,0,1,,"Calle",,"SANTA FE","La Capital","S/D","S/D","II","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D"
2015,6,15/01/2015,"Jueves",0,23:10:00,,"0.0",2,"Moto/Ciclomotor,Taxi/Remis","Leumann Y Conscripto Mecca",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","No existe","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Reducida","Nocturna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2015,7,10/01/2015,"Sabado",0,10:00:00,"Ruta Provincial 2","11.0",2,"Moto/Ciclomotor,Automóvil"," ",2,1,0,0,1,0,0,,"Ruta",2,"ANGEL GALLARDO","La Capital","Hormigón","Natural","I","Dentro","Rural","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","De alcance","S/D","Colisión","Ninguna","S/D","Ninguna","Sin restricción"
2015,8,09/01/2015,"Viernes",0,01:00:00,,"0.0",2,"Moto/Ciclomotor,Otros","French Y Pje Ingenieros",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto,Tierra","No existe","I","Dentro","Urbana","S/D","No existe","Intersección","Con baches,Deteriorada","Reducida","Nocturna,Con luz artificial","Buen Tiempo","Frontal","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,9,11/01/2015,"Domingo",0,23:55:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Salvador del Carril Y Alberdi",3,2,0,0,1,0,0,,"Avenida",,"SANTA FE","La Capital","Asfalto","Pavimento","I","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Reducida","Nocturna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2015,10,30/01/2015,"Viernes",0,19:20:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Ricardo Aldao Y Candioti",2,1,0,0,1,0,0,,"Calle",,"SANTA FE","La Capital","Asfalto","S/D","I","S/D","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Atardecer","Buen Tiempo","S/D","S/D","Colisión","S/D","S/D","Ninguna","Sin restricción"
