anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2018,1,2018-05-13,Domingo,1,,,0.0,1,Camión,Entre Rios Y Limite Imaginario,1,1,0,0,0,0,0,"-32.85327, -60.78909",Calle,,IBARLUCEA,Rosario,Asfalto,No existe,I,Dentro,Urbana,Policía de tránsito,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Atropello animal,S/D,Colisión,Agua,Horizontal,Barrera de hormigón,Sin restricción
2018,2,2018-01-01,Lunes,0,06:50:00,,0.0,2,"Moto/Ciclomotor,Pickup/Utilitario",Caseros Y 9 de Julio,2,1,0,0,1,0,0,"-30.359001,-60.400178",Calle,,GOBERNADOR CRESPO,San Justo,Asfalto,Pavimento,XVI,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Lluvia,Contra objeto fijo,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2018,3,2018-01-04,Jueves,0,20:10:00,,0.0,2,"Automóvil,Otros",Americo Vespucio Y Brigadier General E Lopez,4,1,0,0,3,0,0,"-31.097861111111,-60.092055555556",Calle,,HELVECIA,Garay,Asfalto,Natural,VII,S/D,Urbana,Ninguna,No existe,Intersección,Ahuellamiento,Reducida,Nocturna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2018,4,2018-01-13,Sabado,0,13:30:00,,0.0,2,"Bicicleta,Moto/Ciclomotor",Av Gral San Martin Y Independencia,2,2,0,0,0,0,0,"-30.363260, -60.402328",Avenida,,GOBERNADOR CRESPO,San Justo,Asfalto,Pavimento,XVI,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,De alcance,S/D,Colisión,Ninguna,Faltante,Cordón divisorio,Sin restricción
2018,5,2018-01-03,Miercoles,0,22:10:00,Ruta Provincial 4,0.0,2,"Pickup/Utilitario,Camión c / Acoplado",J B Justo ,6,5,0,0,0,0,1,"-30.316686676000, -61.227749406463",Ruta,4,SAN CRISTÓBAL,San Cristóbal,Asfalto,Natural,XIII,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Reducida,Nocturna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Vertical,Línea divisoria pintada,S/D
2018,6,2018-01-05,Viernes,0,21:10:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Salta Y Pringles,2,1,0,0,1,0,0,"-30.310638888889,-61.228083333333",Calle,,SAN CRISTÓBAL,San Cristóbal,Hormigón,Pavimento,XIII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,"Frontal,Lateral",S/D,Colisión,Ninguna,Horizontal,Cordón divisorio,Sin restricción
2018,7,2018-01-07,Domingo,0,22:20:00,,0.0,2,"Pickup/Utilitario,Otros",Bvard Lopez Y Florida,2,0,1,0,0,0,1,"-29.890800,-61.949009",Calle,,CERES,San Cristóbal,Ripio,Natural,XIII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Nocturna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Vegetación,Sin restricción
2018,8,2018-01-07,Domingo,0,23:40:00,,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",Rivadavia Y Sarmiento,4,2,1,0,1,0,0,"-30.360821,-61.919978",Calle,,SAN GUILLERMO,San Cristóbal,Hormigón,No existe,XIII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Reducida,"Nocturna,Con luz artificial",Buen Tiempo,Frontal,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,9,2018-01-07,Domingo,0,16:00:00,,0.0,2,"Moto/Ciclomotor,Automóvil",San Martin Y Moreno,2,1,0,0,1,0,0,"-30.71405, -61.47662",Calle,,MOISÉS VILLE,San Cristóbal,Hormigón,S/D,XIII,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,De alcance,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10,2018-01-08,Lunes,0,01:20:00,,0.0,1,Moto/Ciclomotor,Chacabuco Y Bv San Martin,1,1,0,0,0,0,0,"-30.307861111111,-61.230138888889",Calle,,SAN CRISTÓBAL,San Cristóbal,Asfalto,No existe,XIII,Dentro,Urbana,Ninguna,No existe,Recta,Con baches,Buena,"Nocturna,Con luz artificial",Buen Tiempo,S/D,S/D,Caída ocupante,Ninguna,Faltante,Ninguna,Sin restricción
