anio_acci,nro_acci,fecha,desc_dia,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2020,2,2020-01-05,Domingo,01:30:00,,0.0,2,"Peatón,Automóvil",Rueda Y Av. Ovidio Lagos,2,1,0,0,1,0,0,"-32.96692, -60.66745",S/D,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,S/D,Ninguna,No existe,Intersección,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,S/D,Peatón,Atropello,Ninguna,Vertical,Ninguna,Sin restricción
2020,3,2020-01-05,Domingo,22:45:00,,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",Paraguay Y Rueda,2,2,0,0,0,0,0,"-32.97009, -60.64997",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,S/D,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2020,4,2020-01-07,Martes,11:30:00,,0.0,2,"Peatón,Pickup/Utilitario",Bv. Oroño 1515,2,1,0,0,1,0,0,"-32.95262, -60.65518",S/D,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,S/D,Semáforo,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,Peatón,Atropello,S/D,Vertical,Ninguna,Sin restricción
2020,5,2020-01-07,Martes,07:50:00,,0.0,2,"Automóvil,Moto/Ciclomotor",MONTEVIDEO Y ALSINA,2,1,0,0,1,0,0,"-32.94932, -60.67884",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2020,6,2020-01-10,Viernes,14:00:00,,0.0,2,"Bicicleta,Automóvil",Riobamba Y Colon,2,1,0,0,1,0,0,"-32.9653, -60.62976",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,Ciclista,Atropello,Ninguna,Vertical,Línea divisoria pintada,Sin restricción
2020,7,2020-01-15,Miercoles,,,0.0,2,"Bicicleta,Automóvil",Jujuy Y Santiago,2,1,0,0,1,0,0,"-32.93508, -60.65397",Calle,,ROSARIO,Rosario,Asfalto,S/D,II,Dentro,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,Cordón divisorio,S/D
2020,8,2020-01-09,Jueves,19:30:00,,0.0,2,"Peatón,Automóvil",San Lorenzo 3900,2,1,0,0,1,0,0,"-32.93727, -60.6759",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Atardecer,Buen Tiempo,S/D,Peatón,Atropello,Ninguna,Vertical,Ninguna,Sin restricción
2020,9,2020-01-14,Martes,10:00:00,,0.0,2,"Moto/Ciclomotor,Automóvil",España Y San Luis,2,0,1,0,1,0,0,"-32.94753, -60.64715",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Semáforo,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2020,10,2020-01-14,Martes,18:25:00,,0.0,2,"Bicicleta,Moto/Ciclomotor",Av. Pellegrini Y Vera Mujica,2,0,1,0,1,0,0,"-32.95218, -60.66963",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,Ciclista,Atropello,Ninguna,Vertical,Ninguna,Sin restricción
2020,11,2020-01-13,Lunes,,,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Pellegrini Y Bv. Avellaneda,2,1,0,0,1,0,0,"-32.95006, -60.68196",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
